Start Date,End Date,VIN,Repair Description,Repair Cost,Repair Status,Vendor Name,Vendor Phone,Vendor Street Address,Vendor City,Vendor State,Vendor ZIP,Recall NTHSA,Recall Description,Manufacturer
1/2/19,1/3/19,VROU7UEWYWK097688,adjust block heater; replace brake pedal spring; ,58.17,completed,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
1/6/19,1/6/19,VROU7UEWYWK097688,repair direct injection system; fix cylinder head bolts; ,29.08,pending,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
1/6/19,1/8/19,H7PM7E5LCY5894305,change memory settings of the onboard computer; reduce fuel consumption; ,25.78,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,19V035000, Volkswagen Group of America  Inc. (Audi) is recalling certain 2016-2018 Q7  A6 and A7 vehicles ,Audi
1/8/19,2/2/19,SGEAZM7OHRE981138,replace water pump; change steering rack; ,163.11,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
1/8/19,1/8/19,VROU7UEWYWK097688,adjust adaptive cruise control; add knee airbags; ,29.08,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
1/9/19,1/18/19,L2G40AKW0DV261314,reduce carbon footprint; adjust retractable mirrors; ,235.7,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
1/9/19,1/10/19,VROU7UEWYWK097688,change suspension fluid; replace catalytic converter; ,58.17,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,14V624000, General Motors LLC (GM) is recalling certain model year 2015 Cadillac Escalade and Escalade ESV,Cadillac
1/10/19,1/17/19,ZIYO5EKWDKS246902,repair seatbelt force limiters; replace tail lights; ,547.42,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
1/13/19,1/13/19,VROU7UEWYWK097688,adjust accelerator pedal linkage; ,29.08,in progress,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
1/14/19,1/15/19,EAJW0OF78HV386515,adjust turn signals; change memory settings of the onboard computer; ,32.57,completed,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
1/14/19,1/18/19,QNGJBXZ0ZPN690169,install curtain airbags; install smoked glass; ,51.26,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,06V445000, ON CERTAIN SPORT UTILITY VEHICLES  DURING STATIC AIR BAG DEPLOYMENT TESTING CONDUCTED BY NHTSA ,Hyundai
1/14/19,1/17/19,VROU7UEWYWK097688,configure universal remote control; adjust turn signals; ,29.08,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
1/16/19,1/19/19,C1OCSTQ1VP0823459,repair direct injection system; install anti-theft alarm; ,118.73,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
1/17/19,1/19/19,EAJW0OF78HV386515,repair seatbelt force limiters; ,16.29,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
1/17/19,3/25/19,2CEDOZQS3WI014174,improve engine performance; adjust adaptive cruise control; ,4118.68,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,,,
1/17/19,1/17/19,AKHFEO0D1D4893889,fix a-pillar; ,51.03,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,15V504000, Mitsubishi Fuso Truck of America  Inc. (MFTA) is recalling certain model year 2012-2016 FEC52 v,Mitsubishi
1/19/19,2/11/19,7Y1EAHONCCS732936,replace radiator hoses; replace radiator core & ac condenser; ,1073,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,09E012000, SABERSPORT IS RECALLING 16 270 COMBINATION CORNER AND BUMPER LAMP ASSEMBLIES OF VARIOUS PART NU,Toyota
1/19/19,1/19/19,RZ64Q4VF3EC682670,install smoked glass; adjust low fuel warning indicator; ,47.64,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
1/19/19,1/22/19,AKHFEO0D1D4893889,fix rear defroster; reduce blind spot; ,204.13,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
1/20/19,2/27/19,6HKQMAEQ5PA690783,replace catalytic converter; replace diverter valve; ,664.32,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
1/20/19,1/20/19,EAJW0OF78HV386515,install dusk-sensing headlights; install on-board diagnosis system; ,16.29,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,09V428000, DAIMLER TRUCKS IS RECALLING MODEL YEAR 2009-2010 FREIGHTLINER  AND STERLING VEHICLES EQUIPPED D,Freightliner
1/22/19,1/28/19,RZ64Q4VF3EC682670,adjust traction control system; adjust retractable mirrors; ,333.51,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
1/23/19,1/25/19,C1OCSTQ1VP0823459,prevent fuel pump shutoff; reduce blind spot; ,79.15,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
1/24/19,1/26/19,AKHFEO0D1D4893889,replace ace filter; replace ace filter; ,153.1,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,06E064000, CERTAIN TRADESONIC COMBINATION LAMPS SOLD AS REPLACEMENT LAMPS FOR USE ON THE ABOVE LISTED PASS,Mitsubishi
1/24/19,1/28/19,EAJW0OF78HV386515,change speaker configuration; change timing belt; ,81.43,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,06V205000, CERTAIN HEAVY TRUCKS  SHUTTLE BUSES  AND  SCHOOL BUSES EQUIPPED WITH BENDIX MODULATED SPRING BR,Freightliner
1/24/19,3/29/19,GB5EB3AIUD0242483,change brake linings; replace crankcase ventilation filter; ,235.3,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
1/25/19,1/27/19,MW6HGX7M6O4186962,change brake linings; install curtain airbags; ,102.78,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
1/25/19,2/14/19,XK51E6IAGWW949280,check drive axle boots; change timing belt; ,57.06,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
1/25/19,2/14/19,L2G40AKW0DV261314,adjust running boards; replace catalytic converter; ,117.85,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
1/25/19,2/1/19,EMARJQJLUEI221810,attach spoiler; fix a-pillar; ,154.42,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
1/26/19,2/28/19,VSGK3RYW2TC911641,change oil filter; repair shiftable automatic transmission; ,340.05,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
1/26/19,4/20/19,I7CVVBU08H1044370,attach spoiler; set up satellite radio; ,17.42,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
1/26/19,2/1/19,8HJHTFE0FGU264640,set up satellite radio; change suspension fluid; ,132.53,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
1/27/19,2/12/19,UEHE08QS622862172,add knee airbags; adjust low fuel warning indicator; ,17.42,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
1/28/19,1/29/19,AKHFEO0D1D4893889,fix sunroof; adjust regenerative braking; ,102.07,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,12V524000, Mitsubishi Fuso Truck of America (MFTA) is recalling certain model year 2012-2013 FEC52  FEC72 ,Mitsubishi
1/28/19,2/1/19,IB3FDW7VPTE357125,improve cylinder configuration; attach seat extension; ,18.86,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
1/28/19,1/31/19,C1OCSTQ1VP0823459,reduce carbon footprint; fix rear hvac; ,79.15,pending,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
1/29/19,1/29/19,QNGJBXZ0ZPN690169,replace crankcase ventilation filter; change suspension fluid; ,25.63,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,17V359000, Hyundai Motor America (Hyundai) is recalling certain 2015-2016 Sonata and Genesis vehicles.  In,Hyundai
1/30/19,2/15/19,ZIYO5EKWDKS246902,change wheel cylinders; repair direct injection system; ,205.28,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
1/30/19,1/30/19,AKHFEO0D1D4893889,replace tail lights; change pcv filter/pcv valve; ,51.03,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
1/30/19,2/18/19,QNGJBXZ0ZPN690169,adjust retractable mirrors; adjust ignition timing; ,486.95,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
1/31/19,2/2/19,ZS1SXM3GTO8957023,repair seatbelt force limiters; fix solar sunroof; ,87.25,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/1/19,2/2/19,MW6HGX7M6O4186962,attach seat extension; reduce blind spot; ,68.52,pending,Rundofase,6976505267,175 12-street,Seattle,WA,08511,17V389000, Aston Martin The Americas (Aston Martin) is recalling certain 2011-2012 V8 Vantage vehicles.  T,Aston
2/2/19,2/3/19,AKHFEO0D1D4893889,change wheel cylinders; replace brake pedal spring; ,51.03,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,,,
2/3/19,2/9/19,IB3FDW7VPTE357125,adjust hybrid performance; fix broken tow hooks; ,37.72,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,08511,19V090000, Ferrari North America  Inc. (Ferrari) is recalling certain 2017 LaFerrari Aperta  2018-2019 488,Ferrari
2/3/19,2/16/19,1D377TZAWSW801985,add knee airbags; adjust climate control; ,381.69,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/3/19,2/5/19,H0SVSC0X1W0660350,fix external temperature display; reduce fuel consumption; ,158.6,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,00V371000,VEHICLE DESCRIPTION:  PASSENGER VEHICLES.  SOME OF THESE VEHICLES EXHIBIT A CONDITION IN WHICH T,Chevrolet
2/4/19,2/10/19,MW6HGX7M6O4186962,install dusk-sensing headlights; repair direct injection system; ,205.57,completed,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
2/4/19,2/4/19,ZS1SXM3GTO8957023,attach exterior camera; replace crankcase ventilation filter; ,29.08,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/5/19,2/19/19,ZS1SXM3GTO8957023,install intelligent alternator; adjust block heater; ,58.17,pending,Newex,3321611463,6781 14-street,Durham,WI,50395,,,
2/6/19,6/18/19,23XI32P0M0K897737,fix deceleration system; replace stabilizer bar; ,761.97,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
2/6/19,2/18/19,SGEAZM7OHRE981138,check drive axle boots; install turbocharger; ,177.94,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/6/19,2/6/19,C1OCSTQ1VP0823459,install optional equipment; change speaker configuration; ,39.58,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,03V509000, ON CERTAIN VEHICLES  THE HEADLAMP ADJUSTMENT MECHANISM MAY BE OPERATED WITHOUT SUITABLE INSTRUC,Jaguar
2/7/19,2/18/19,EMARJQJLUEI221810,fix nvh dampening system; ,386.05,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/7/19,2/21/19,AI51SMWRVBH997689,fix power activated release; change timing belt; ,142.41,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/9/19,2/11/19,XLHSC830B4B709486,reduce carbon footprint; install separate rear audio; ,161.04,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
2/10/19,2/12/19,XG2F8AZ3DKK768039,change brake linings; adjust climate control; ,17.5,in progress,Newex,3321611463,6781 14-street,Durham,WI,50395,13V114000, Kia Motors Corporation (Kia) is recalling certain model year 2007-2010 Rondo  model year 2007-2,Kia
2/10/19,2/10/19,2KANK83IC2A444270,change speaker configuration; adjust retractable mirrors; ,41.57,in progress,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
2/10/19,2/12/19,38ZSAKVC20U930606,attach exterior camera; change wheel cylinders; ,14.72,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,14V753000, Aston Martin Lagonda of North America (Aston Martin) is recalling certain model year 2006-2014 ,Aston
2/11/19,2/24/19,7FT34LPXEKD855738,fix external temperature display; correct abs; ,278.93,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/12/19,2/17/19,XOBOW6AU18A917853,fix broken tow hooks; refurbish power steering; ,90.05,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
2/12/19,2/23/19,2KANK83IC2A444270,replace catalytic converter; replace crankcase ventilation filter; ,83.15,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
2/12/19,2/17/19,E64AFHYM7CM667399,install separate rear audio; adjust low fuel warning indicator; ,107.95,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
2/13/19,3/13/19,22420XMJ47N471618,change purge valve; ,337.14,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/13/19,2/14/19,H0SVSC0X1W0660350,fix sunroof; fix ventilated seats; ,158.6,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/14/19,2/17/19,MW6HGX7M6O4186962,fix nvh dampening system; fix steering damper; ,137.05,in progress,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
2/15/19,2/16/19,EFUWNBMO3TM316916,change purge valve; configure audio remote control; ,41.7,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,11V510000, LOTUS IS RECALLING CERTAIN MODEL YEAR 2005-2007 ELISE AND EXIGE VEHICLES MANUFACTURED FROM JUNE,Lotus
2/15/19,2/17/19,SX73Y7QKKQF628146,adjust retractable mirrors; fix ventilated seats; ,34.84,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/15/19,2/17/19,1EW5SWZMNBU661507,repair cooled seats; set up auto-delay headlights; ,25.78,in progress,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,04V133000, ON CERTAIN PASSENGER VEHICLES  IF A DRIVER'S KNEES PUSH AGAINST THE KNEE BOLSTER (CRASH ELEMENT,Audi
2/16/19,2/20/19,WJENS213H4U188325,attach seat extension; set up satellite radio; ,90.1,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
2/16/19,2/23/19,VP0U4FNOL1Q272112,change memory settings of the onboard computer; correct abs; ,166.85,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
2/16/19,2/24/19,2TN1NJUXESG344969,change pcv filter/pcv valve; install smoked glass; ,444.9,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
2/17/19,3/20/19,KIYTRMRZHSZ939929,set up auto-delay headlights; ,366.73,pending,Newex,3321611463,6781 14-street,Durham,WI,50395,,,
2/18/19,2/18/19,EFUWNBMO3TM316916,install dusk-sensing headlights; install active pedestrian protection system; ,20.85,in progress,Newex,3321611463,6781 14-street,Durham,WI,50395,,,
2/18/19,2/18/19,H0SVSC0X1W0660350,install vanity mirrors; repair shiftable automatic transmission; ,79.3,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/18/19,2/25/19,XUV6JR4Q8SX652578,replace stabilizer bar; change oil filter; ,10.13,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,06V328000, DURING A CANADIAN COMPLIANCE TEST  CERTAIN SPORT UTILITY VEHICLES FAIL TO COMPLY WITH THE REQUI,INFINITI
2/19/19,2/24/19,H0SVSC0X1W0660350,repair direct injection system; set up gyro sensor; ,396.5,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
2/19/19,2/20/19,SX73Y7QKKQF628146,repair seatbelt force limiters; fix external temperature display; ,34.84,pending,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
2/19/19,2/21/19,MW6HGX7M6O4186962,adjust adaptive cruise control; install optional equipment; ,68.52,completed,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
2/20/19,2/23/19,ZS1SXM3GTO8957023,change speaker configuration; attach seat extension; ,87.25,completed,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
2/20/19,3/14/19,V4JVFR4YRS7140562,change pcv filter/pcv valve; set up auto-delay headlights; ,715.07,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/21/19,2/23/19,BNWE37HKK6A465562,refurbish power steering; fix rear defroster; ,47.43,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
2/21/19,3/3/19,ZIYO5EKWDKS246902,prevent fuel pump shutoff; ,684.28,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,,,
2/21/19,2/28/19,LAW66TO51NY340329,fix nvh dampening system; make polarization coating; ,14.56,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
2/22/19,2/26/19,E64AFHYM7CM667399,replace crankcase ventilation filter; ,89.95,pending,Newex,3321611463,6781 14-street,Durham,WI,50395,,,
2/22/19,2/24/19,426W8PU85BH593514,fix cylinder head bolts; change purge valve; ,24.15,completed,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
2/22/19,2/26/19,XOBOW6AU18A917853,improve engine performance; adjust reverse tilt mirrors; ,22.51,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
2/22/19,3/3/19,IOCT8QVK86C997015,correct abs; replace radiator core & ac condenser; ,141.32,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/23/19,2/23/19,SX73Y7QKKQF628146,adjust turn signals; change speaker configuration; ,17.42,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
2/23/19,2/25/19,EFUWNBMO3TM316916,install on-board diagnosis system; ,20.85,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
2/23/19,3/1/19,QNGJBXZ0ZPN690169,improve cylinder configuration; ,128.15,completed,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
2/23/19,2/28/19,AI51SMWRVBH997689,install vanity mirrors; set up gyro sensor; ,35.6,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
2/24/19,2/24/19,SX73Y7QKKQF628146,reconfigure service reminder light; adjust adaptive cruise control; ,17.42,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
2/24/19,3/1/19,JVUFO2OOZH6501609,adjust adaptive cruise control; adjust seat belts tension; ,167.91,in progress,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
2/24/19,2/24/19,ZS1SXM3GTO8957023,refurbish power steering; install optional equipment; ,29.08,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
2/24/19,3/1/19,MW6HGX7M6O4186962,install dusk-sensing headlights; adjust ignition timing; ,68.52,in progress,Newex,3321611463,6781 14-street,Durham,WI,50395,14V753000, Aston Martin Lagonda of North America (Aston Martin) is recalling certain model year 2006-2014 ,Aston
